title,company,location,link,job_type,experience_level
Data Analyst – Power BI,Innover Digital,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-%E2%80%93-power-bi-at-innover-digital-4371512375,Full-time,Mid-Senior level
Data Analyst,Indofast Energy,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-indofast-energy-4369337715,Full-time,Mid-Senior level
Data Analyst - II,Tekion Corp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-tekion-corp-4353103104,Full-time,Mid-Senior level
Data Analyst - Lead,FedEx,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-lead-at-fedex-4371041012,Full-time,Mid-Senior level
Associate,PwC India,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/associate-at-pwc-india-4291066590,Full-time,Mid-Senior level
Business Intelligence Analyst,Concentrix,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-intelligence-analyst-at-concentrix-4369085169,Full-time,Mid-Senior level
Data Analyst,BNP Paribas,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/data-analyst-at-bnp-paribas-4313231131,Full-time,Mid-Senior level
Data Visualization Analyst (India),Applied Systems,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-visualization-analyst-india-at-applied-systems-4370402000,Full-time,Mid-Senior level
Data Analyst,Gushwork,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-gushwork-4362564501,Full-time,Mid-Senior level
BI Data Analyst,ZeroFox,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/bi-data-analyst-at-zerofox-4312048636,Full-time,Mid-Senior level
Data Analyst,Bureau,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-bureau-4368830167,Full-time,Mid-Senior level
Data Center Analyst,Victoria’s Secret & Co.,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-center-analyst-at-victoria%E2%80%99s-secret-co-4370859078,Full-time,Mid-Senior level
Data Analyst II,Carousell Group,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-ii-at-carousell-group-4359537587,Full-time,Mid-Senior level
Data Analyst,Omnicom Global Solutions,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-omnicom-global-solutions-4371110142,Full-time,Mid-Senior level
"Data Analytics, Python- Associate",JPMorganChase,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analytics-python-associate-at-jpmorganchase-4367159249,Full-time,Mid-Senior level
Data Engineer,Deloitte,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-engineer-at-deloitte-4363191064,Full-time,Mid-Senior level
Business Data Analyst,NetApp,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-data-analyst-at-netapp-4355101341,Full-time,Mid-Senior level
Data Analyst - Internal Audits [T500-21908],MUFG,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-internal-audits-t500-21908-at-mufg-4344392771,Full-time,Mid-Senior level
Data Analyst,Omnissa,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-omnissa-4368251238,Full-time,Mid-Senior level
Data Analyst,Astreya,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-astreya-4368593281,Full-time,Mid-Senior level
Sr. Data Analyst,Saviynt,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sr-data-analyst-at-saviynt-4359733973,Full-time,Mid-Senior level
Data Analyst,Greenlight,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-greenlight-4355954110,Full-time,Mid-Senior level
"Reference Data Analyst, NCT",Deutsche Bank,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/reference-data-analyst-nct-at-deutsche-bank-4370381542,Full-time,Mid-Senior level
Data Analyst,ADA,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-ada-4367220063,Full-time,Mid-Senior level
